Co_Ref,Contact_ID,Call_Date,Direction,cc_business_struggles_financial_hardship,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_issues_score,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_complained,Analysed_Call
VD6637,596779000000.0,2025-02-25,IN_BOUND,No,No,Satisfied,90,No,No,No,1
LJ8476,594833000000.0,2025-01-27,IN_BOUND,No,No,Satisfied,90,No,No,No,1
IC7734,593698000000.0,2025-01-08,IN_BOUND,No,No,Satisfied,90,No,No,No,1
NY5736,651743000000.0,2025-06-10,IN_BOUND,No,No,Satisfied,90,No,No,No,1
JJ9148,622725000000.0,2025-03-26,IN_BOUND,No,No,Satisfied,90,No,No,No,1
HS1120,684954000000.0,2025-10-13,OUT_BOUND,No,No,Satisfied,90,No,No,No,1
YH7110,590249000000.0,2024-11-11,OUT_BOUND,No,No,Satisfied,90,No,No,No,1
BU4779,684417000000.0,2025-10-07,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
UY1171,593696000000.0,2025-01-07,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
GW1249,594581000000.0,2025-01-21,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
BF8808,622105000000.0,2025-03-18,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
RH5218,684955000000.0,2025-10-14,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
VR2199,594294000000.0,2025-01-17,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
CN3054,595746000000.0,2025-02-10,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
QZ9165,622845000000.0,2025-03-27,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
NS7296,624536000000.0,2025-04-22,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
EJ3922,595926000000.0,2025-02-12,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
YH8704,596191000000.0,2025-02-17,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
LZ5949,593696000000.0,2025-01-07,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
II2100,681247000000.0,2025-08-26,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
JR6909,623476000000.0,2025-04-07,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
NW4759,650830000000.0,2025-05-28,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
RE2847,684416000000.0,2025-10-07,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
ZO7436,591754000000.0,2024-12-05,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
VO1664,592897000000.0,2024-12-23,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
GQ0306,590558000000.0,2024-11-14,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
RF7054,590439000000.0,2024-11-14,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
HU6230,591917000000.0,2024-12-09,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
BW8728,594580000000.0,2025-01-21,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
AM2118,625851000000.0,2025-05-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
MV5345,595126000000.0,2025-01-30,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
CA2309,596779000000.0,2025-02-25,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
BN9448,688423000000.0,2025-11-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IQ1687,624068000000.0,2025-04-16,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IJ0465,678858000000.0,2025-07-22,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
LE8704,683925000000.0,2025-09-30,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
SN8829,687861000000.0,2025-11-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UT6372,624536000000.0,2025-04-22,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
DI5162,678203000000.0,2025-07-14,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UW2851,684955000000.0,2025-10-14,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ZX8118,590736000000.0,2024-11-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
RA9847,678400000000.0,2025-07-16,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
CZ5422,623027000000.0,2025-04-01,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
MF8029,625975000000.0,2025-05-15,OUT_BOUND,No,No,Neutral,80,No,No,No,1
CU7144,626068000000.0,2025-05-15,IN_BOUND,No,No,Neutral,80,No,No,No,1
ZT0111,684558000000.0,2025-10-09,OUT_BOUND,No,No,Neutral,80,No,No,No,1
JJ7906,651743000000.0,2025-06-10,OUT_BOUND,No,No,Neutral,80,No,No,No,1
GS7913,688704000000.0,2025-11-27,IN_BOUND,No,No,Neutral,80,No,No,No,1
VR2199,690298000000.0,2025-12-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
KH5804,684557000000.0,2025-10-08,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
HO3969,687684000000.0,2025-11-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IQ4684,622845000000.0,2025-03-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
QM8598,594581000000.0,2025-01-22,IN_BOUND,No,No,Neutral,80,No,No,No,1
VR1778,687862000000.0,2025-11-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
QV6913,623936000000.0,2025-04-14,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
NK8481,678859000000.0,2025-07-23,OUT_BOUND,No,No,Neutral,80,No,No,No,1
WM4158,677795000000.0,2025-07-08,OUT_BOUND,No,No,Neutral,80,No,No,No,1
NE9393,684084000000.0,2025-10-02,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IP3207,683450000000.0,2025-09-23,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
PL4096,595604000000.0,2025-02-07,OUT_BOUND,No,No,Neutral,80,No,No,No,1
QE9029,689200000000.0,2025-12-05,OUT_BOUND,No,No,Neutral,80,No,No,No,1
BV1759,685124000000.0,2025-10-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
FB8827,689199000000.0,2025-12-04,OUT_BOUND,No,No,Neutral,80,No,No,No,1
XQ4067,624068000000.0,2025-04-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
RG0161,680940000000.0,2025-08-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ZD9558,686970000000.0,2025-11-06,OUT_BOUND,No,No,Neutral,80,No,No,No,1
WS8438,623936000000.0,2025-04-14,OUT_BOUND,No,No,Neutral,80,No,No,No,1
ED1413,650977000000.0,2025-05-30,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
WH1533,678859000000.0,2025-07-23,OUT_BOUND,No,No,Neutral,80,No,No,No,1
MK3688,622410000000.0,2025-03-21,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ZV9499,688587000000.0,2025-11-27,OUT_BOUND,No,No,Neutral,80,No,No,No,1
FK9763,685241000000.0,2025-10-17,OUT_BOUND,No,No,Neutral,80,No,No,No,1
IY0079,651252000000.0,2025-06-04,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UF3523,591754000000.0,2024-12-05,OUT_BOUND,No,No,Neutral,80,No,No,No,1
YF8770,687159000000.0,2025-11-10,IN_BOUND,No,No,Neutral,80,No,No,No,1
FO0187,595127000000.0,2025-01-31,OUT_BOUND,No,No,Neutral,70,No,No,No,1
MV9414,591917000000.0,2024-12-09,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
BG0720,685775000000.0,2025-10-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
JZ2323,591234000000.0,2024-11-26,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
PE0871,683106000000.0,2025-09-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
JL2830,691479000000.0,2026-01-05,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
GF9897,690297000000.0,2025-12-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
TU4696,591234000000.0,2024-11-25,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
JJ8966,689552000000.0,2025-12-08,OUT_BOUND,No,No,Neutral,70,No,No,No,1
VG1254,685773000000.0,2025-10-23,OUT_BOUND,No,No,Neutral,70,No,No,No,1
IY0005,687553000000.0,2025-11-14,OUT_BOUND,No,Yes,Neutral,Not Discussed,No,No,No,1
QK1131,565597000000.0,2024-11-01,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
HT2114,686277000000.0,2025-10-29,OUT_BOUND,No,No,Neutral,80,No,No,No,1
OZ7276,689718000000.0,2025-12-11,OUT_BOUND,No,No,Neutral,80,No,No,No,1
WW9753,689552000000.0,2025-12-09,OUT_BOUND,No,No,Neutral,80,No,No,No,1
ML8921,590736000000.0,2024-11-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
DR8699,683926000000.0,2025-10-01,IN_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ZU9268,589929000000.0,2024-11-06,OUT_BOUND,Yes,No,Neutral,80,No,No,No,1
IA7903,688242000000.0,2025-11-21,OUT_BOUND,No,No,Neutral,80,No,No,No,1
TE4451,687861000000.0,2025-11-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
WZ8211,688423000000.0,2025-11-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
TX9227,591917000000.0,2024-12-09,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
YX9895,597082000000.0,2025-03-03,IN_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IE0825,651142000000.0,2025-06-02,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
HK5122,590438000000.0,2024-11-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
AX1095,592601000000.0,2024-12-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OK3075,681750000000.0,2025-09-01,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
SG2955,688014000000.0,2025-11-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
VC7183,593975000000.0,2025-01-13,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
AT1102,689718000000.0,2025-12-11,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
HL9830,595604000000.0,2025-02-07,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
BS9849,597369000000.0,2025-03-06,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
TP9264,590737000000.0,2024-11-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
YW0961,689552000000.0,2025-12-09,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
RP6966,596363000000.0,2025-02-19,IN_BOUND,No,No,Neutral,80,No,No,No,1
HX6682,684558000000.0,2025-10-09,OUT_BOUND,No,No,Neutral,80,No,No,No,1
BN4350,594136000000.0,2025-01-14,OUT_BOUND,No,No,Neutral,80,No,No,No,1
IS3596,591234000000.0,2024-11-26,IN_BOUND,No,No,Neutral,80,No,No,No,1
HZ5927,677236000000.0,2025-07-02,OUT_BOUND,No,No,Neutral,80,No,No,No,1
XF7479,594294000000.0,2025-01-17,OUT_BOUND,No,No,Neutral,80,No,No,No,1
UX4718,564895000000.0,2024-10-21,OUT_BOUND,No,No,Neutral,80,No,No,No,1
LT7394,593390000000.0,2025-01-02,OUT_BOUND,No,No,Neutral,80,No,No,No,1
DQ2244,592072000000.0,2024-12-10,OUT_BOUND,No,No,Neutral,80,No,No,No,1
SS8536,626392000000.0,2025-05-20,IN_BOUND,No,Yes,Neutral,80,No,No,No,1
GH3619,689923000000.0,2025-12-12,OUT_BOUND,No,No,Neutral,80,No,No,No,1
FF1890,590915000000.0,2024-11-22,IN_BOUND,No,No,Neutral,80,No,No,No,1
HP5547,685774000000.0,2025-10-23,OUT_BOUND,No,No,Neutral,80,No,No,No,1
NG9115,686662000000.0,2025-11-03,OUT_BOUND,No,No,Neutral,80,No,No,No,1
VC0031,688585000000.0,2025-11-25,OUT_BOUND,No,No,Neutral,80,No,No,No,1
CT3656,685240000000.0,2025-10-16,OUT_BOUND,No,No,Neutral,80,No,No,No,1
IT2863,678859000000.0,2025-07-23,OUT_BOUND,No,No,Neutral,80,No,No,No,1
OQ3676,690632000000.0,2025-12-22,OUT_BOUND,No,No,Neutral,80,No,No,No,1
ZN5164,623025000000.0,2025-03-31,OUT_BOUND,No,No,Neutral,80,No,No,No,1
OY6286,625513000000.0,2025-05-08,IN_BOUND,No,No,Neutral,80,No,No,No,1
IB2354,690633000000.0,2025-12-23,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OS6571,688424000000.0,2025-11-25,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
KK2479,592748000000.0,2024-12-20,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
AN5420,652191000000.0,2025-06-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
CF8686,686278000000.0,2025-10-30,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
TX9436,594703000000.0,2025-01-23,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OK3075,682975000000.0,2025-09-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UU9995,680752000000.0,2025-08-18,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IF6049,690130000000.0,2025-12-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
MK1982,591634000000.0,2024-12-03,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
LG3971,685919000000.0,2025-10-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
QE9029,688586000000.0,2025-11-26,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UP6326,596628000000.0,2025-02-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
RI2627,625975000000.0,2025-05-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ER3954,689923000000.0,2025-12-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
PT3010,689923000000.0,2025-12-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
AZ4797,682340000000.0,2025-09-08,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OH9052,689199000000.0,2025-12-04,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
CO5861,591235000000.0,2024-11-26,IN_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
MQ1337,685920000000.0,2025-10-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
BT4355,652049000000.0,2025-06-13,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
LS0903,623026000000.0,2025-03-31,IN_BOUND,No,No,Neutral,80,No,No,No,1
XB6348,685773000000.0,2025-10-23,IN_BOUND,No,No,Neutral,80,No,No,No,1
ZI5636,596779000000.0,2025-02-25,OUT_BOUND,No,No,Neutral,80,No,No,No,1
ZM5403,689552000000.0,2025-12-09,IN_BOUND,No,No,Neutral,80,No,No,No,1
ET0268,595128000000.0,2025-01-31,IN_BOUND,No,No,Neutral,80,No,No,No,1
HX3887,687352000000.0,2025-11-11,OUT_BOUND,No,No,Neutral,80,No,No,No,1
OM5657,624188000000.0,2025-04-17,IN_BOUND,No,No,Neutral,80,No,No,No,1
FN6841,681916000000.0,2025-09-02,IN_BOUND,No,No,Neutral,80,No,No,No,1
GI2753,691673000000.0,2026-01-06,IN_BOUND,No,No,Neutral,80,No,No,No,1
RJ4090,688704000000.0,2025-11-27,OUT_BOUND,No,No,Neutral,80,No,No,No,1
ZX4959,596485000000.0,2025-02-20,IN_BOUND,No,No,Neutral,80,No,No,No,1
WH1533,676790000000.0,2025-06-24,OUT_BOUND,No,No,Neutral,80,No,No,No,1
HH6845,691673000000.0,2026-01-06,IN_BOUND,No,No,Neutral,80,No,No,No,1
GY2750,594581000000.0,2025-01-22,IN_BOUND,No,No,Neutral,80,No,No,No,1
VA8229,565090000000.0,2024-10-22,IN_BOUND,No,No,Neutral,80,No,No,No,1
ZL3369,684787000000.0,2025-10-10,IN_BOUND,No,No,Neutral,80,No,No,No,1
JN2667,597368000000.0,2025-03-05,IN_BOUND,No,No,Neutral,80,No,No,No,1
DB4657,592600000000.0,2024-12-17,OUT_BOUND,No,No,Neutral,80,No,No,No,1
UL3740,623304000000.0,2025-04-03,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UX0655,688585000000.0,2025-11-26,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UQ0598,689200000000.0,2025-12-04,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
DC5811,681916000000.0,2025-09-02,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
UX4718,565229000000.0,2024-10-25,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
RC5258,596778000000.0,2025-02-24,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OB7278,688424000000.0,2025-11-25,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
ZG5799,592748000000.0,2024-12-20,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
FZ5385,594293000000.0,2025-01-16,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
JZ3470,684557000000.0,2025-10-08,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
PN1137,681067000000.0,2025-08-21,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
SK7398,689552000000.0,2025-12-09,IN_BOUND,No,No,Neutral,80,No,No,No,1
UE7597,594137000000.0,2025-01-15,OUT_BOUND,No,No,Neutral,80,No,No,No,1
CG9631,624670000000.0,2025-04-24,IN_BOUND,No,No,Neutral,80,No,No,No,1
IS8334,691673000000.0,2026-01-06,OUT_BOUND,No,No,Neutral,80,No,No,No,1
HL1713,594136000000.0,2025-01-14,IN_BOUND,No,No,Neutral,80,No,No,No,1
KV8872,621541000000.0,2025-03-07,IN_BOUND,Yes,No,Neutral,80,No,No,No,1
RX1525,621699000000.0,2025-03-10,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
SL0144,596926000000.0,2025-02-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
OK8688,593696000000.0,2025-01-07,IN_BOUND,No,No,Neutral,70,No,No,No,1
SG1750,685631000000.0,2025-10-21,IN_BOUND,No,No,Neutral,70,No,No,No,1
IP3207,683450000000.0,2025-09-23,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
SV1993,685632000000.0,2025-10-21,OUT_BOUND,No,No,Neutral,70,No,No,No,1
OK9414,689200000000.0,2025-12-05,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
GT0648,684557000000.0,2025-10-08,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
QH4026,622282000000.0,2025-03-19,IN_BOUND,No,No,Neutral,80,No,No,No,1
KO6257,592293000000.0,2024-12-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IE6728,688704000000.0,2025-11-27,OUT_BOUND,No,No,Neutral,80,No,No,No,1
MP3109,594833000000.0,2025-01-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
HR8862,596778000000.0,2025-02-25,OUT_BOUND,No,No,Neutral,60,No,No,No,1
VT2122,687553000000.0,2025-11-14,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
IL0886,589928000000.0,2024-11-04,IN_BOUND,No,No,Neutral,50,No,No,No,1
DL7923,690437000000.0,2025-12-19,OUT_BOUND,No,No,Neutral,90,No,No,No,1
ZA0474,591755000000.0,2024-12-06,IN_BOUND,No,No,Neutral,90,No,No,No,1
JQ4940,590736000000.0,2024-11-18,IN_BOUND,Yes,No,Neutral,80,No,No,No,1
ZU5828,622104000000.0,2025-03-17,IN_BOUND,No,No,Neutral,80,No,No,No,1
IL2931,624838000000.0,2025-04-28,IN_BOUND,No,No,Neutral,80,No,No,No,1
KM8530,685240000000.0,2025-10-16,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
VJ2430,690131000000.0,2025-12-16,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,No,1
UZ7023,689553000000.0,2025-12-10,OUT_BOUND,No,No,Dissatisfied,40,No,No,No,1
ZQ5701,625975000000.0,2025-05-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
QE0531,688424000000.0,2025-11-25,IN_BOUND,No,No,Neutral,80,No,No,No,1
LW4397,686663000000.0,2025-11-04,IN_BOUND,No,No,Neutral,80,No,No,No,1
CY9746,565597000000.0,2024-10-31,IN_BOUND,No,No,Neutral,80,No,No,No,1
AL6603,624188000000.0,2025-04-17,OUT_BOUND,No,No,Neutral,80,No,No,No,1
FW0890,684557000000.0,2025-10-08,IN_BOUND,No,No,Neutral,80,No,No,No,1
PD5734,681917000000.0,2025-09-03,IN_BOUND,No,No,Neutral,80,No,No,No,1
LC2117,590249000000.0,2024-11-11,IN_BOUND,No,No,Neutral,80,No,No,No,1
EV0411,597369000000.0,2025-03-06,IN_BOUND,No,No,Neutral,80,No,No,No,1
ES7689,682013000000.0,2025-09-04,OUT_BOUND,No,No,Neutral,80,No,No,No,1
BV4417,624979000000.0,2025-04-29,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,No,1
PR2188,595746000000.0,2025-02-10,OUT_BOUND,No,No,Neutral,80,No,No,No,1
DB8427,690130000000.0,2025-12-15,IN_BOUND,No,No,Neutral,70,No,No,No,1
RK0791,677794000000.0,2025-07-07,IN_BOUND,No,No,Neutral,70,No,No,No,1
PC8022,590439000000.0,2024-11-13,IN_BOUND,No,No,Neutral,70,No,No,No,1
EP6737,691479000000.0,2026-01-05,IN_BOUND,No,No,Neutral,75,No,No,No,1
NG5735,686837000000.0,2025-11-06,IN_BOUND,No,No,Neutral,70,No,No,No,1
WQ3917,688423000000.0,2025-11-24,OUT_BOUND,No,No,Neutral,70,No,No,No,1
SK4356,592073000000.0,2024-12-11,IN_BOUND,No,No,Neutral,70,No,No,No,1
MP1299,681917000000.0,2025-09-03,IN_BOUND,No,No,Neutral,70,No,No,No,1
TW4495,685240000000.0,2025-10-16,IN_BOUND,No,No,Neutral,80,No,No,No,1
ZV2768,592073000000.0,2024-12-11,OUT_BOUND,No,No,Neutral,80,No,No,No,1
BU0048,589929000000.0,2024-11-06,OUT_BOUND,No,No,Neutral,70,No,No,No,1
YV6980,622283000000.0,2025-03-20,OUT_BOUND,No,No,Satisfied,80,No,No,No,1
FW3050,591370000000.0,2024-11-29,IN_BOUND,No,No,Satisfied,90,No,No,No,1
ZR2933,593549000000.0,2025-01-06,IN_BOUND,No,No,Satisfied,90,No,No,No,1
MA9864,690297000000.0,2025-12-17,IN_BOUND,No,No,Satisfied,90,No,No,No,1
XC4957,590737000000.0,2024-11-19,IN_BOUND,No,No,Satisfied,80,No,No,No,1
HU6835,596041000000.0,2025-02-13,IN_BOUND,No,No,Satisfied,80,No,No,No,1
AT3215,565090000000.0,2024-10-22,IN_BOUND,No,No,Satisfied,80,No,No,No,1
HW5096,689923000000.0,2025-12-12,IN_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
AC7497,592294000000.0,2024-12-13,IN_BOUND,No,No,Satisfied,90,No,No,No,1
PM8920,593697000000.0,2025-01-08,IN_BOUND,No,No,Satisfied,90,No,No,No,1
EE2165,593391000000.0,2025-01-03,IN_BOUND,No,No,Satisfied,80,No,No,No,1
MN1820,682013000000.0,2025-09-05,IN_BOUND,No,Yes,Satisfied,80,Yes,No,No,1
RQ8112,594137000000.0,2025-01-15,IN_BOUND,No,No,Satisfied,90,No,No,No,1
YD4355,623936000000.0,2025-04-14,IN_BOUND,No,No,Satisfied,80,No,No,No,1
IL2931,624536000000.0,2025-04-22,OUT_BOUND,Yes,No,Satisfied,80,No,No,No,1
LC6043,690297000000.0,2025-12-17,IN_BOUND,No,No,Satisfied,90,No,No,No,1
SV1401,622558000000.0,2025-03-24,IN_BOUND,No,No,Satisfied,90,Yes,No,No,1
NY2563,687552000000.0,2025-11-13,OUT_BOUND,No,No,Satisfied,90,No,No,No,1
EQ0711,594136000000.0,2025-01-14,IN_BOUND,No,No,Satisfied,90,No,No,No,1
WH1545,687159000000.0,2025-11-10,IN_BOUND,No,No,Satisfied,80,No,No,No,1
YJ6896,688585000000.0,2025-11-26,IN_BOUND,No,No,Satisfied,90,No,No,No,1
XA2210,685241000000.0,2025-10-17,IN_BOUND,No,No,Satisfied,90,No,No,No,1
AM1583,592072000000.0,2024-12-10,IN_BOUND,No,No,Satisfied,90,No,No,No,1
MG1825,595302000000.0,2025-02-03,IN_BOUND,No,No,Satisfied,90,No,No,No,1
QB2302,686118000000.0,2025-10-28,IN_BOUND,No,No,Satisfied,90,No,No,No,1
GQ0167,564895000000.0,2024-10-21,IN_BOUND,No,No,Satisfied,90,No,No,No,1
ZG0989,687861000000.0,2025-11-18,IN_BOUND,No,No,Satisfied,90,No,No,No,1
UY7155,594136000000.0,2025-01-14,OUT_BOUND,No,No,Satisfied,90,No,No,No,1
UO0083,624188000000.0,2025-04-17,IN_BOUND,No,No,Satisfied,90,No,No,No,1
AI9845,621700000000.0,2025-03-11,IN_BOUND,No,No,Satisfied,90,No,No,No,1
UN7330,593825000000.0,2025-01-10,IN_BOUND,No,No,Satisfied,90,No,No,No,1
AJ6777,688015000000.0,2025-11-20,IN_BOUND,No,No,Satisfied,90,No,No,No,1
OJ9987,688586000000.0,2025-11-26,IN_BOUND,No,No,Satisfied,90,No,No,No,1
UL2952,565597000000.0,2024-11-01,IN_BOUND,No,No,Satisfied,90,No,No,No,1
CI6045,595301000000.0,2025-01-31,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,No,1
LF2560,597368000000.0,2025-03-05,IN_BOUND,No,No,Satisfied,80,No,No,No,1
EY5450,650830000000.0,2025-05-28,IN_BOUND,No,No,Satisfied,80,No,No,No,1
BJ5371,688423000000.0,2025-11-24,IN_BOUND,No,No,Satisfied,80,No,No,No,1
RT3675,590065000000.0,2024-11-07,IN_BOUND,No,No,Satisfied,85,No,No,No,1
QN4458,565434000000.0,2024-10-29,OUT_BOUND,No,No,Satisfied,80,No,No,No,1
JQ0471,651878000000.0,2025-06-12,IN_BOUND,No,No,Satisfied,80,No,No,No,1
OJ3870,685124000000.0,2025-10-15,IN_BOUND,No,No,Satisfied,80,No,No,No,1
LU7777,652190000000.0,2025-06-16,IN_BOUND,No,No,Satisfied,80,No,No,No,1
YZ1470,681916000000.0,2025-09-02,IN_BOUND,No,No,Satisfied,80,No,No,No,1
UW5875,624068000000.0,2025-04-15,IN_BOUND,No,No,Satisfied,90,No,No,No,1
AQ6076,623476000000.0,2025-04-07,IN_BOUND,No,No,Satisfied,80,No,No,No,1
BU7305,594990000000.0,2025-01-28,IN_BOUND,No,No,Satisfied,90,No,No,No,1
IN7575,677577000000.0,2025-07-07,IN_BOUND,No,No,Satisfied,90,No,No,No,1
PA9429,591754000000.0,2024-12-04,IN_BOUND,Yes,No,Satisfied,90,No,No,No,1
